,Date,User,Tweet
11,2022-10-02 01:42:53+00:00,chidambara09,"@enilev @rflannerychina @Forbes @BetaMoroney @psb_dc @GlenGilmore @sallyeaves @efipm @HaroldSinnott @mvollmer1 @Nicochan33 @VivienneTam @PawlowskiMario @Fabriziobustama @tobiaskintzel @MiriamAsensi @joana_ut @cocottine2 @SwissCognitive How The 
#Covid19 Pandemic Lifted #Designer #VivienneTam Into The #Metaverse
By 
@rflannerychina
#fashion #fashiontech #Metaverse
 
V/ 
@Forbes
 
ThX mymom🪔 

#bigdata 
#Twitter 
#SOciaLmediA 
🍁"
12,2022-09-27 05:31:03+00:00,dez_blanchfield,"@mentorafrika @SSUNGA_77 @psb_dc @stevejohanns @larbac_1000 @SkiewiesNam @p3networkglobal @homelendingpal @villagecapital @donasarkar @OlfaHaamdi @vuyo_mhlotshane in year 2020.. while in #COVID19 mode for 3x years, if there are 2x things I value, they are:

1. Virtual
2. Free

Melissa Sassi @mentorafrika, always ""wows"" with sheer raw energy and power.. literally a living breathing ""beacon of light for hope"" ;-)

I love being part of this!!"
13,2022-09-19 16:39:01+00:00,SerpinaLonghaul,"@morganstephensa @MEActNet @POTUS Morgan, thank you so much for covering the #MillionsMissing 2022 protest in Washington, DC. Much appreciation from this #disabled housebound social scientist on the West Coast in involuntary disability retirement w/ #LongCovid #MECFS since March 2020 #SARS2 infection.

#Covid19"
14,2022-09-18 12:49:56+00:00,PTF_org,"@bhrenton Hooray for DC and Vermont! Those who haven't, please make sure to get your children vaccinated against #COVID19 #CovidIsNotOver #VaccinesSaveLives"
15,2022-09-14 00:19:39+00:00,V4DC2,"@DCist 3 GOP US Senators cruelly seeking to tyranny ban life &amp; health saving #COVID19 vaccine in @dcpublicschools, to maximize harm to US citizens DC.
#DCstatehoodNews"
16,2022-09-13 17:16:55+00:00,jenkatesdc,"Getting boosted against #COVID19 still depends on where you live. My NYC-based parents (well over age 70) cannot get an appointment (either no supply, no appts left, &amp; messed up registration systems). Me - walked into a DC COVID center and had no issue. ☹️ @nycHealthy @_DCHealth"
17,2022-09-07 23:03:09+00:00,GenDonBolduc,"The career politicians in our local, state and federal levels failed us during #COVID19.

They locked us down, closed our businesses &amp; masked our kids. When these politicians who did you wrong come &amp; ask for your vote, say Hell No. Enough is enough! Send real leadership to DC."
18,2022-08-16 13:33:55+00:00,NewsLiebs,NEW: The White House says @FLOTUS has tested positive for #COVID19. She'll stay isolated in South Carolina until she tests negative twice. She was scheduled to return to DC with Pres. Biden today.
19,2022-07-28 08:33:19+00:00,AnthonyJouve1,"@GillesWell De 2 choses l'une,
- Soit les plateformes de médias sociaux vont dc devoir censurer ls posts de l'OMS.
- Soit les plateformes seront les garantes de la propagande mortifère de l'OMS

On nous rejoue le #Covid19.
Perso je dirais bien au patron de l’OMS d'aller se faire..."
20,2022-07-24 21:36:17+00:00,aaronmyers,Thursday I got my first #monkeypox #Vaccination - I encourage others to sign up if you’re in #DC!
21,2022-07-24 19:13:38+00:00,dparvaz,"I would estimate that a solid 75 percent in #DC aren’t masking on the @wmata … in the middle of this insane #COVID19 spike. 
Yeah, masks aren’t fun but #CovidIsNotOver. And there are vulnerable ppl who rely on the metro… would be nice if we showed them some consideration, eh."
22,2022-07-22 20:23:08+00:00,SMGebru,"I’m not one for conspiracy theories, but it has come to my attention that @JoeBiden and I were in DC during the same time and tested positive for #COVID19 on the same day. We share the same birthday. We’ve also never been seen together. Maybe I am Biden, as one friend alleged. 🙃"
23,2022-07-21 17:13:03+00:00,whaddatwit,"@BidensWins So no emergency chopper to Walter Reed? No joyride around DC with his motorcade, or a grand, nationally televised unmasking &amp; epic ascent of stairs nobody ever uses? AND he's going to keep working?

But what about the ratings?!! 🙄😆

Get well soon, #PresidentBiden
#COVID19"
24,2022-07-11 12:51:15+00:00,AndyParkerVA,"In DC this morning for the White House ceremony marking the recent gun legislation.  But Covid had other ideas for me. I tested positive this morning after feeling shitty last night.  As tempting as it is to gut it up and go, I don’t want to be a super spreader.  #COVID19"
25,2022-07-11 00:28:05+00:00,WhoWeAreNowUSA,"@USofDisaster Scott -If you happen to be in Washington, DC, you should go to the “Outbreak: Epidemics in a Connected World” exhibit at the @smithsonian Museum of Natural History. It opened right before #COVID19 and is closing at the end of September. I just went there (DM me)."
26,2022-06-27 16:04:27+00:00,jodyvance,Filling in for @MikeSmythNews this week. TODAY: @Cecchini_DC is live from Tennessee where the overturning of #RoeVsWade sees a trigger ban imminent. Reax from there. @JATetro is in to take your calls on 4th dose science around #COVID19 and #monkeypox - where the @WHO is on that..
27,2022-06-23 19:12:02+00:00,DrJaimeAnne,"Hey DC: Medical Reserve Corps &amp; Arlington County Public Health has begun distributing COVID-19 vaccines to children under 5 on Wednesdays, Fridays, and Saturdays. A new special clinic is now operating at Sequoia Plaza. #COVID19 #WashingtonDC #epitwitter"
28,2022-06-23 13:44:59+00:00,EmilyG_DC,"Breathing a big sigh of relief this week after my 4yo received #COVID19 vaccination.

Our neighborhood pharmacy carries Pfizer ad Moderna, plus ice cream bars. All good options! First post-vax treat was strawberry, next dose will be chocolate."
29,2022-06-21 18:18:20+00:00,AliNeitzelMD,"If you’re sickened by the revelations of #Wisconsin @SenRonJohnson’s involvement in trying to get false documents to DC to support #Trump’s #BigLie today, know he also is deeply involved is the Bannon-driven #MAGA anti-#vaccine corruption too!! 
#Jan6thHearings #Jan6thCommittee"
30,2022-06-20 14:21:46+00:00,dc_marco_ipj,"@DanielFff8 @sobotelha Sempre muiiíito bom lembrar,  também, que os #negacionistas seguindo o #genocida, são culpados por quase 700 mil mortes por #COVID19, inúmeras evitáveis. #Aculpaésempredosoutros"
31,2022-06-14 01:13:28+00:00,Narcopacifist,"@BrokenTruthTV I was thinking more like the Vietnam war memorial, raising money and flying Chinese New Year paper lamps/hot air ballons, in 🔴 for myocarditis ⚪️ for #VaccineDeaths 🔵 for other #vaccineinjuries or lost pregnancy. And do it in DC above the Lincoln Pool on a significant date.
Or?"
32,2022-06-09 03:49:40+00:00,MandateMasksNY,@NYCMayor @visitthecapitol Where is your mask @NYCMayor? The same way #COVID19 spreads on the NYC subway it also spreads in DC. #MaskUpInTravel
33,2022-06-08 10:37:58+00:00,dc_morel,"@emma_ducros Elle est totalement cinglée 
Il y a 2 ans la page de leur ferme publiait des immondices sans nom durant la campagne de #vaccination"
34,2022-05-30 13:03:15+00:00,BethPathak,"@Epi_D_Nique AND at the same time DC has stopped reporting new cases of #COVID19 to the CDC!!

I don’t use the word coverup lightly, but this *IS* a data coverup. Every other state and NYC report new cases to CDC on a DAILY basis. DC hasn’t updated in &gt;1 week. 
IRRESPONSIBLE!!!"
35,2022-05-29 12:49:39+00:00,Cbluedreams,"Just flew from San Francisco to Washington DC and was pleased to see about 75% of people masked, even though it’s optional now. It was largely young guys who were bare faced. #VaxxedAndMasked #COVID19 #Travel"
36,2022-05-26 04:37:18+00:00,Ghidewon,"@DawitHaile91 Yes, after 2 years of #COVID19 imposed separation &amp; virtual celebrations, we’re ready to attend #Eritrea’s 31st independence celebrations, in person, in Washington, DC. Get ready We‘ll be coming from z Southeast, z West, as well as z Northeast. #EritreaShinesAt31 #EritreaPrevails"
37,2022-05-23 01:42:50+00:00,CyclingChef,Is it a coincidence that Monkeypox is coming out just as lots of information that Hillary laundered $50-$100M of funds for her elaborate Russia Hoax? #DoNotComply The Real #Pandemic is Washington DC Congressional Criminals!
38,2022-05-18 22:50:47+00:00,jodyvance,"Headed onto @am640 and across Ont talking #inflation, the #DOW, housing, #scams, #farming, #wildfires, @Cecchini_DC talks USA #politics #COVID19 and #trump -- @ColinDMello checks in from Queens Park #ONpoli and @chapappay brings part 2 of his #racism in medical our system series."
39,2022-05-18 04:18:11+00:00,PatriciaEguino,"I'm going to Emergency Room due to (post?) COVID-19 complications. @MayorBowser, it is outrageous that public #COVID19 numbers + hospitalizations have stopped being posted in #WashingtonDC. Take the health of DC residents more seriously.

#CovidIsNotOver #LongCovid"
40,2022-05-16 21:17:20+00:00,DC_claxton,"@Sarah4Rose @DaveAtherton20 Not just sign it but write to both Number 10 and your MP withdrawing your consent for this.  Any such petition can be discussed but our representatives must know our feelings, they must be told. #pandemic"
41,2022-05-13 03:10:51+00:00,creynoldsdc,@BethCameron_DC @POTUS @VP @_AfricanUnion @CARICOMorg @G7 @g20org @BethCameron_DC neither summit would have happened without your determination &amp; leadership. @PandemicAction 👏you - we are counting on @POTUS @VP @SecBlinken @PowerUSAID @rajpanjabi @JakeSullivan46 @WHCOS  @AshishKJha46 to keep the #pandemic high on the 🇺🇸 🌎agenda.
42,2022-05-11 14:42:07+00:00,Roper_Lab,"I'm a member of AmSoc for Microbiology. Our conf is June, DC. We all know the data. We are required to be vaccinated and wear masks because we understand the virus &amp; data #COVID19 #Covid #CovidVaccine #CoronaUpdate #CoronaPositive #coronavirus #CoronaVaccine #Covid_19 #COVID__19"
43,2022-05-09 21:57:28+00:00,oilpan69,"Your Government, both parties, and EVERY politician in DC, HATES YOU. Their lips are moving, but, NOTHING happens.  When will SOMEONE be held accountable? #corruption #COVID19 #POTUS"
44,2022-05-09 20:57:48+00:00,m_c_mills,"@justthefacts85 @flowermusickids Don’t worry, DC hasn’t reported data in 11 days- they’re #COVID19 free! This is fine, everything is fine."
45,2022-05-07 17:17:56+00:00,DDC_Ranchi,"Covid #Vaccination Centre at Football Stadium, Ranchi, scheduled for 08th May 2022 (Sunday). 

@DC_Ranchi
@prdjharkhand
@HLTH_Jharkhand
@JharkhandCMO"
46,2022-05-05 23:43:47+00:00,jess_miers,"So, after avoiding it for 2 years, I unfortunately caught #COVID19 last week. Some details about my case:

I caught it during my 2 week biz trip to DC. Symptoms started the night of 4/28. I had been to several team outings / happy hours the week of and prior..."
47,2022-05-05 12:49:00+00:00,GlobalDiaBEATes,One year ago today we rallied in #DC to urge @POTUS to agree to support negotiations on the #TRIPSwaiver. Since then we have seen words only + a shameful lack of action which has contributed to more than 15 million global deaths from #Covid19. The pandemic isn’t over for everyone
48,2022-05-04 19:27:04+00:00,Ahavab12,"@NadiaSiino @TPMP @Marc_Doyer @RomainDoyer Ca fait 10 MOIS qu elle est entre la vie et la mort. Dc cela NE choque ABSOLUMENT PAS qu il soit la ce soir pour en parler. Car avt tout il pense aux autres. A tous ceux qui ont eu des effets secondaires #vaccin #COVID19 . 
Il faut mettre ce sujet au ❤️ des politiques publiques."
49,2022-05-03 02:12:25+00:00,FrontPo30323810,"#RoeVWade 
 Because it’s too soon for another #Pandemic &amp; #Bidenflation has become
 “the new normal”
…The only RED MEAT the #Dems approve of is #abortion 
LEAKS in #DC are seldom an accident."
50,2022-04-29 19:56:48+00:00,Blade88668821,"Mes proches ce jour  et pas des sportifs 🧐
- 1 DC soudain post vaxx à 78 ans ss comorbidités
- 1 nvo né - mère vaxx durant sa grossesse - ""manque de tout selon la neonat"" : 1/2 cervo, 1/2 poumons, 1/3 digestif... viable ?
#VaccineSideEffects 
#Vaccins 
#effetsecondaires"
51,2022-04-27 14:47:24+00:00,DC_claxton,@k3enteprises @LSW12612672511 And those swabs will be breaking the blood-brain barrier!! #COVID19 #Covid_19 #PCR
52,2022-04-25 23:45:22+00:00,CynthiaFlynn15,"@DanglerDom @myrabatchelder @medriva New York, New Jersey. New England, Washington DC and Delaware have rising rates.  DC and Kent county DE have hospitalization increases.  It’s not over yet. #COVID19"
53,2022-04-25 10:04:33+00:00,DharamvirNews,"#BreakingNewsHaryana

#दिल्ली के बाद #हरियाणा_सरकार का ऐलान, सभी को फ्री लगेगी #बूस्टर #डोज़..#कोरोना के बढ़ते मामलो के बीच सरकार का फैसला...250 रुपए वाली ख़ुराक़ अब मुफ्त मिलेगी

@cmohry 
@mlkhattar 
@anilvijminister
@DC_Gurugram
@nishantyadavIAS

 #COVID19 
 #boosterdose"
54,2022-04-21 14:36:49+00:00,drpippa,Today is the day I am supposed to be in person at  #QT2022 talking about #hospitalathome. #COVID19 scrambled my plans and @NCQA was kind enough to allow me to present a virtual version which will be broadcast later today. What an incredible day it’s going to be in DC!
55,2022-04-21 14:11:49+00:00,karinrives,"Gotta love it: 100% of people on my #DC metro train still wearing #COVID19 masks, ignoring what some Florida judge said. People around here listen to science."
56,2022-04-20 16:19:45+00:00,sumedhasharma86,"#Trending 225 #COVID19 cases in #Gurgaon many school students test positive. Parents demand early summer break atleast for non vaccinated children
@ThePradeepRawat @NcrParents @ParentsGurgaon #vaccinated #schools #summervacation @DC_Gurugram @anilvijminister"
57,2022-04-20 14:32:11+00:00,ACTION_tweets,"@guptavineeta @Dr_PhilippaW @Bambos_MP @wendychambLD @DavidMundellDCT @resultsuk @RESULTS_Tweets @KarenPierceUK @UKinUSA ACTION partner @resultsuk is in DC this week - hosting a bipartisan MP delegation to engage @WorldBank + #GlobalHealth leaders and decision makers to talk the impacts of #COVID19 on women+girls and catalyze a more effective, equitable response #RMNCH @theGFF #HealthEquity"
58,2022-04-20 13:14:21+00:00,group_mvm,"BCCI have announced a change in venue for the match between DC and RR on 22nd April 2022 from MCA Stadium, Pune to Wankhede Stadium, Mumbai to avoid any further undetected spread of the virus 🦠

Earlier, Tim Seifert tested positive for #COVID19

#TATAIPL 
#DelhiCapitals"
59,2022-04-20 13:09:06+00:00,TheHinduSports,"#JustIn | Friday's #IPL game between #DelhiCapitals and #RajasthanRoyals has been moved from Pune to Wankhede Stadium due to #COVID19 outbreak in DC camp, reports @karhacter"
60,2022-04-20 11:04:51+00:00,Bhardwajmeha,Another player positive in the DC camp. As of now no clarity on whether the match will go on or be called off. Players are being tested again. #IPL2022 #DCvsPBKS #COVID19 #DelhiCapitals
61,2022-04-18 05:51:37+00:00,GSV1980,Just in: #COVID19 seeping into #IPL bubble ...first #DC physio and now another player tests positive. Worst scenario is they played a game in between with the risk of infection spreading. This has to be taken seriously. #CricketTwitter
62,2022-04-18 05:42:35+00:00,YaariSports,"🚨 JUST IN 🚨 : Delhi Capitals have cancelled their scheduled travel to Pune as they have been hit by Covid outbreak scare. DC are scheduled to play PBKS on Wednesday.

#Covid_19 #IPL2022 #TATAIPL2022 #IPL #CricketTwitter #COVID19 #CoronavirusUpdates #Cricket #DelhiCapitals"
63,2022-04-16 16:38:38+00:00,DDC_Ranchi,"Urban #Vaccination Centre at Football Stadium, Ranchi District for 17th April 2022 (Sunday). 

@DC_Ranchi 
@HLTH_JHARKHAND 
@prdjharkhand 
@JharkhandCMO"
64,2022-04-16 15:48:10+00:00,karamprakash6,"Though different states have done away with COVID restrictions, Patiala DC @sawhney_sakshi , on Saturday, issued a fresh advisory to follow COVID appropriate behaviour. 
DC as asked the residents to wear masks and follow social distancing. @DCPatialaPb @thetribunechd #COVID19"
65,2022-04-15 16:03:34+00:00,JamiiForums,"Rais Samia Suluhu Hassan (Washington DC): Kuhusu #COVID19, Nchi yangu inashukuru kwa mchango wa Marekani katika kuchangia Chanjo kupitia mpango wa COVAX

Hadi sasa, Marekani imetoa takriban Chanjo Milioni 5 za Corona kwa Tanzania

#JamiiForums #JFLeo"
66,2022-04-15 11:29:31+00:00,otvnews,"#IPL | Delhi Capitals physio Patrick Farhart tests positive for #COVID19. He is being closely monitored by the DC Medical Team at the moment. 

(ANI)"
67,2022-04-14 20:57:48+00:00,kathrynmcg,I caught covid the first weekend I went out to a concert and crowded bar in DC. I tested neg for 3 days after I started feeling ill before getting a + result. Be careful out there! I've been isolating for 9 days. #covid19 #DC
68,2022-04-14 13:21:48+00:00,1776ADOS,"@VJablow @MayorBowser @ChmnMendelson Anybody with #children in #DCPS STOP FOOLING YOURSELF! Our mayor auctioned poor, #Black #kids to #billionaires for profit; THEREFORE, do you REALLY think she cares about your child, #teacher or you contracting #COVID19?  Wake UP #DC! #dcision22 #dcproud #fairshot #DCStatehoodNow"
69,2022-04-13 23:13:03+00:00,morethanmySLE,".@funder, remember at the start of #COVID19 I asked you how long you think it would be before I would be able to return to DC to continue my health care advocacy in person? You said, I think you need to hunker down for a bit.

I'm still hunkering for as long as I need to &amp; 😷👍💜"
70,2022-04-13 12:56:49+00:00,ArkGal89,"I just watched the first busload of #illegals arrive in DC. If we’re still in the middle of a #pandemic, as the Left claims, why then were they welcomed with a big hug and a warm handshake? GO! #BidenBorderCrisis"
71,2022-04-11 21:02:19+00:00,W7VOA,"#Gridiron Apr. 2 #COVID19 superspreader dinner in #DC now has resulted in 80 confirmed cases among attendees, according to club president @TomDeFrank."
72,2022-04-10 23:05:09+00:00,multiplewalt,"The border crisis should scare everyone what this is doing to #America, also gov. Abbott is sending the illegals that are crossing to Washington DC &amp; guess what, over 30dems have #COVID19 including pelosi &amp; have to leave DC,If you still think these ppl are on your side #WakeUp"
73,2022-04-10 18:35:19+00:00,Sarah_in_USA,"So, for the next 2 weeks, i will monitor #Covid19 in DC, lose health and hope in humanity over the #UkraineRussiaWar, and cross my fingers that #France doesn't turn into a female #TrumpLand.

What's next, 2022?

#electionspresidentielles2022"
74,2022-04-09 20:49:36+00:00,robhenneke,@LoewyLawFirm Apparently not within the DC Democrat political social circles where #COVID19 is spreading like wildfire
75,2022-04-08 11:12:39+00:00,dog_person20,"@TomiLahren That doesn’t even make any sense. DC lifted its indoor mask requirements, people held an event, lots of people contracted #COVID19, and you think that is evidence that we shouldn’t be required to wear masks on airplanes? BTW, the airline requirement expires in two weeks."
76,2022-04-06 18:35:07+00:00,ketgorjestani,AG #MerrickGarland has tested positive for #COVID19 today. He's the 2nd member of the Biden cabinet to test positive. They both attended the #Gridiron dinner on Saturday. Scores of DC officials as well a reporters have tested positive in recent days. #F24
77,2022-03-29 19:11:55+00:00,JoanEisenstodt,"Didn't @US_FDA approve #Moderna #Booster for those 50+? @cvspharmacy please update your site and let us make appts. ""We are currently awaiting guidance from the @CDCgov  on a potential second #COVID19 booster shot for adults age 50+.  Check back for details."" #DC @MayorBowser"
78,2022-03-26 09:53:48+00:00,lnprofe,"Pas loupé. Après mon enfant, c'est à mon tour d'avoir le covid. Et pourtant je portais le masque mais j'étais la seule dc pas assez efficace. Merci #Veran #BlanquerDemission @Ecole_Oubliee
#COVID19 #enseignants"
79,2022-03-23 05:05:00+00:00,tmprowell,"@chefdini Hey, when is @StephenVLiu going to do his outdoor work homemade doughnut party that he won during #HCWvsHunger, @chefdini? It's lovely spring weather in DC. We're in between #pandemic surges. I say ""doughnut miss this opportunity""! 😉"
80,2022-03-20 16:49:01+00:00,drsfarnsworth,Had a great time listening to @MazJobrani at the @kencen in DC last night. It was our first public indoor performance in more than two years. #COVID19 @waitwait
81,2022-03-19 18:22:44+00:00,EmileZo37838636,"@ventura1711 Les enfants décédés après 💉☠️ #Pfizer on peut vs envoyer les parents espèce d'enflure ?!
Aucune pitié, rien, que des mensonges répétés en boucles !
Non l'ESSAI N EST PS TERMINE
Surtt k la souche d'origine est le #Covid19 dc inefficace sur les variants !"
82,2022-03-19 12:27:19+00:00,KnoxvilleKC,"@GlennJacobsTN Boy, one thing we have learned from #COVID19 is that we need to remove as much responsibility and power from DC and move it to the states as possible."
83,2022-03-17 00:29:19+00:00,sob999,The Taoiseach has tested positive for #covid19 in Washington DC
84,2022-03-16 19:48:55+00:00,Laurie_Garrett,"NYC is lifting most #COVID19 restrictions &amp; mask rules. But 2 close friends, both fully vax'ed and super-careful about masking, have separately come down with #COVID19 in the last 2 days. One was @baftaawards2022 in London &amp; sure that's where he got it. The other was in DC."
85,2022-03-15 14:12:40+00:00,BureaucratsInd,"We leveraged #MGNREGA scheme for cultivation of aromatic plants in Una and Kangra districts. In 2021 we started this for smallholders at Behar Jaswan panchayat in Una. Medicinal plants have huge demand owing to #Covid19~@RaghavSharmaIAS, DC, Una (#HimachalPradesh)

#BIDialogue"
86,2022-03-12 20:32:19+00:00,ReporteYa,"@margayakovenko #12Mar #Guerra #Ucrania #Rusia 
@Ibon_dc: ""No pierdas mucho el tiempo… también hay quien niega el holocausto, otros que la tierra sea redonda, otros la #Covid19""."
87,2022-03-12 15:55:15+00:00,DawnRoseTurner,"@SaveOwlsHead @CBCNews Cowardly #bcpoli using #pandemic as cover for dirty deeds 🤬 (done dirt cheap -- AC/DC nailed it). 

Let Karma do the heavy lifting on Their Fates."
88,2022-03-10 17:09:50+00:00,ericgoldman,"Two years ago today, I spoke at a conference in DC, flew home that night, pulled my kids from school the next day, &amp; haven't been on a flight since #Pandemic #COVID"
89,2022-03-09 02:46:43+00:00,ddanpereira,The Peoples Convoy is a group of truckers that have invaded DC &amp; met with #TedCruz &amp; #RonJohnson. The Convoy are protesting #COVID19 mandates which are rare. This is really pathetic since they are doing this while the people of #Ukraine are fighting for their country &amp; lives.
90,2022-03-08 16:34:44+00:00,pchowder,"What do RI, VT, ME, CT, MA, HI, NY, NJ, MD, VA, DC, WA, CA have in common? Higher #vaccination rates than NH ... Another reason for the NH Speaker of the House to allow remote participation to members of the NH General Court. Vulnerability R US #NHPolitics @rennycushing"
91,2022-03-08 07:45:21+00:00,LisaDTRice,"@MurielBowser Until you aggressively target, and achieve, a 90% vaccination rate, you are not done. DC could have been a Vax bubble, led by example ... Why didn't you do this? #COVID19"
92,2022-03-04 16:12:26+00:00,MamaLiberty2,Why has there been little to no media coverage of #PeoplesConvoy to #DC? Is it because #Biden thinks he's quieted the voices for #Freedom? Has anyone read the first #Pfizer data dump? I am vaxxed but will not submit to future #COVID19 #mandates! @kayleighmcenany @HARRISFAULKNER
93,2022-03-02 19:22:15+00:00,ElaineReyesTV,First time in two years I've seen my #DC office parking garage almost full. (I had to hunt for a parking space!) #COVID19 #BackToOffice
94,2022-03-02 02:49:39+00:00,NJDC07,"#COVID19 pandemic has been hard on all around the world! #DC residents have played a huge part in the changing the course of this pandemic! We did so even though we are not a state! 
@EleanorNorton #DCStatehood #SOTU #SOTU2022"
95,2022-03-01 10:52:05+00:00,Isellmpls,"The #TruckersConvoy2022 was reported as moving towards DC to protest #COVID19 restrictions that have basically been rolled back to not having to wear masks indoors or having to show proof of vaccination. So why is this a thing?

#FreshWords #FreshResists"
96,2022-02-26 18:38:29+00:00,aditinfinite,"So the #TruckerConvoy2022 is headed to DC to protest #COVID19 restrictions. Meanwhile, thanks to #Biden’s vaccine rollout most restrictions have been lifted.😄 Now watch as those bozzos take credit for CDC lifting mask mandates 😂🤣😂"
97,2022-02-26 00:40:07+00:00,Rechenkraft_net,"Die in #Russland stehenden Server der #DistributedComputing-Projekte @SiDockProject (#COVID19-Forschung) und #Rakesearch (#Zahlentheorie/#ODLS) sind anscheinend down.

#DC #VC #BOINC #VolunteerComputing #CitizenScience #Rechenkraft"
98,2022-02-24 02:38:41+00:00,Rizabellepow,I hope you all are as responsible as I am. Everyone I have been in contact with I let know I have Covid. I also reported it to the DC government. Get tested. #COVID19
99,2022-02-23 20:55:27+00:00,MatthewBetley,The fact that @PentagonPresSec has no mask on but the White House press corp does tells you everything you need to know about DC. #UkraineRussiaCrisis #COVID19
100,2022-02-23 14:05:45+00:00,lilaabed,"👁 Siguiendo el modelo de las protestas en 🇨🇦, la región de Washington DC se prepara para la llegada de miles de camioneros que se quejan contra el costo del combustible y medidas #COVID19. 

El Pentágono autorizó 700 miembros de la Guardia Nacional para apoyar a las autoridades."
101,2022-02-13 01:20:49+00:00,KaraKarlson,"@KSteffner @ImmunizeUnder5s @CDCDirector @DrWoodcockFDA Also, for the decision makers based in DC/East Coast...#COVID19 is not just a cold weather disease. In the South and SW, where it gets *hot* 🥵🔥 in the summer, we get a peak. Starting to get vaccinated in May=not having immunity for summer wave."
102,2022-02-03 18:52:41+00:00,EmileZo37838636,"@ManonCantin49 Et moi dc,surtt qd je vois certains enfants rentrés de l'école😷
#Veran continue sa politique de la peur en MENTANT sur TT en permanence!
Certains parents st totalement flippés, ils ne réfléchissent même + alors qu'en 2020 aucun enfant n'a eu le #Covid19 et oui #ImmunitéNaturelle"
103,2022-02-01 16:48:32+00:00,LisaKFrank1,Highlights from today's @TPINNetwork @EnvAm @uspirg DC staff meeting: #RightToRepair #ActForWildlife #methane and #COVID19 scams.
104,2022-01-30 14:16:59+00:00,somecanuckchick,"After riling up the Western contingent of the #FREEDUMBCONVOY, i.e. wexiters/qanonsensicals, etc., Jason Kenney is in Washington, DC for the weekend...

Quite telling.

We see you, Premier. 

#cdnpoli #abpoli #COVID19"
105,2022-01-25 14:57:44+00:00,SusanlLawson,@McFlavour7 @PippaCrerar Already lots of speculation UK's initial #COVID19 lock down was delayed for Carrie's 'baby shower'...I bet DC has all the details of that...!
106,2022-01-24 20:50:26+00:00,MPShrike,#BigPharma got DC to #mandate that taxpayers subsidize the clinical trials for an unproven #covid #vaccine without any liability for harmful side effects. #Scamdemic
