,Tweet
10,"enilev AgencyFAPESP IanLJones98 mvollmer1 Nicochan33 andistaub SpirosMargaris psbdc TylerCohenWood PawlowskiMario Study Reveals 
Main Target of 
COVID19 in Brain amp Describes Effects of ViRUS on NervousSystem 
AgencyFAPESP 
SCiENCE MEdiCAL

ThAnk  U 
mymom

bigdata 
Twitter 
SOciaLmediA 
"
11,"enilev rflannerychina Forbes BetaMoroney psbdc GlenGilmore sallyeaves efipm HaroldSinnott mvollmer1 Nicochan33 VivienneTam PawlowskiMario Fabriziobustama tobiaskintzel MiriamAsensi joanaut cocottine2 SwissCognitive How The 
Covid19 Pandemic Lifted Designer VivienneTam Into The Metaverse
By 
rflannerychina
fashion fashiontech Metaverse
 
V 
Forbes
 
ThX mymom 

bigdata 
Twitter 
SOciaLmediA 
"
12,"mentorafrika SSUNGA77 psbdc stevejohanns larbac1000 SkiewiesNam p3networkglobal homelendingpal villagecapital donasarkar OlfaHaamdi vuyomhlotshane in year 2020 while in COVID19 mode for 3x years if there are 2x things I value they are

1 Virtual
2 Free

Melissa Sassi mentorafrika always wows with sheer raw energy and power literally a living breathing beacon of light for hope 

I love being part of this"
13,"morganstephensa MEActNet POTUS Morgan thank you so much for covering the MillionsMissing 2022 protest in Washington DC Much appreciation from this disabled housebound social scientist on the West Coast in involuntary disability retirement w LongCovid MECFS since March 2020 SARS2 infection

Covid19"
14,bhrenton Hooray for DC and Vermont Those who havent please make sure to get your children vaccinated against COVID19 CovidIsNotOver VaccinesSaveLives
15,"DCist 3 GOP US Senators cruelly seeking to tyranny ban life amp health saving COVID19 vaccine in dcpublicschools to maximize harm to US citizens DC
DCstatehoodNews"
16,Getting boosted against COVID19 still depends on where you live My NYCbased parents well over age 70 cannot get an appointment either no supply no appts left amp messed up registration systems Me  walked into a DC COVID center and had no issue ️ nycHealthy DCHealth
17,"The career politicians in our local state and federal levels failed us during COVID19

They locked us down closed our businesses amp masked our kids When these politicians who did you wrong come amp ask for your vote say Hell No Enough is enough Send real leadership to DC"
18,NEW The White House says FLOTUS has tested positive for COVID19 Shell stay isolated in South Carolina until she tests negative twice She was scheduled to return to DC with Pres Biden today
19,"GillesWell De 2 choses lune
 Soit les plateformes de mdias sociaux vont dc devoir censurer ls posts de lOMS
 Soit les plateformes seront les garantes de la propagande mortifre de lOMS

On nous rejoue le Covid19
Perso je dirais bien au patron de lOMS daller se faire"
20,Thursday I got my first monkeypox Vaccination  I encourage others to sign up if youre in DC
21,"I would estimate that a solid 75 percent in DC arent masking on the wmata … in the middle of this insane COVID19 spike 
Yeah masks arent fun but CovidIsNotOver And there are vulnerable ppl who rely on the metro… would be nice if we showed them some consideration eh"
22,Im not one for conspiracy theories but it has come to my attention that JoeBiden and I were in DC during the same time and tested positive for COVID19 on the same day We share the same birthday Weve also never been seen together Maybe I am Biden as one friend alleged 
23,"BidensWins So no emergency chopper to Walter Reed No joyride around DC with his motorcade or a grand nationally televised unmasking amp epic ascent of stairs nobody ever uses AND hes going to keep working

But what about the ratings 

Get well soon PresidentBiden
COVID19"
24,In DC this morning for the White House ceremony marking the recent gun legislation  But Covid had other ideas for me I tested positive this morning after feeling shitty last night  As tempting as it is to gut it up and go I dont want to be a super spreader  COVID19
25,USofDisaster Scott If you happen to be in Washington DC you should go to the Outbreak Epidemics in a Connected World exhibit at the smithsonian Museum of Natural History It opened right before COVID19 and is closing at the end of September I just went there DM me
26,Filling in for MikeSmythNews this week TODAY CecchiniDC is live from Tennessee where the overturning of RoeVsWade sees a trigger ban imminent Reax from there JATetro is in to take your calls on 4th dose science around COVID19 and monkeypox  where the WHO is on that
27,Hey DC Medical Reserve Corps amp Arlington County Public Health has begun distributing COVID19 vaccines to children under 5 on Wednesdays Fridays and Saturdays A new special clinic is now operating at Sequoia Plaza COVID19 WashingtonDC epitwitter
28,"Breathing a big sigh of relief this week after my 4yo received COVID19 vaccination

Our neighborhood pharmacy carries Pfizer ad Moderna plus ice cream bars All good options First postvax treat was strawberry next dose will be chocolate"
29,"If youre sickened by the revelations of Wisconsin SenRonJohnsons involvement in trying to get false documents to DC to support Trumps BigLie today know he also is deeply involved is the Bannondriven MAGA antivaccine corruption too 
Jan6thHearings Jan6thCommittee"
30,DanielFff8 sobotelha Sempre muiiito bom lembrar  tambm que os negacionistas seguindo o genocida so culpados por quase 700 mil mortes por COVID19 inmeras evitveis Aculpasempredosoutros
31,"BrokenTruthTV I was thinking more like the Vietnam war memorial raising money and flying Chinese New Year paper lampshot air ballons in  for myocarditis ️ for VaccineDeaths  for other vaccineinjuries or lost pregnancy And do it in DC above the Lincoln Pool on a significant date
Or"
32,NYCMayor visitthecapitol Where is your mask NYCMayor The same way COVID19 spreads on the NYC subway it also spreads in DC MaskUpInTravel
33,"emmaducros Elle est totalement cingle 
Il y a 2 ans la page de leur ferme publiait des immondices sans nom durant la campagne de vaccination"
34,"EpiDNique AND at the same time DC has stopped reporting new cases of COVID19 to the CDC

I dont use the word coverup lightly but this IS a data coverup Every other state and NYC report new cases to CDC on a DAILY basis DC hasnt updated in gt1 week 
IRRESPONSIBLE"
35,Just flew from San Francisco to Washington DC and was pleased to see about 75 of people masked even though its optional now It was largely young guys who were bare faced VaxxedAndMasked COVID19 Travel
36,DawitHaile91 Yes after 2 years of COVID19 imposed separation amp virtual celebrations were ready to attend Eritreas 31st independence celebrations in person in Washington DC Get ready We‘ll be coming from z Southeast z West as well as z Northeast EritreaShinesAt31 EritreaPrevails
37,Is it a coincidence that Monkeypox is coming out just as lots of information that Hillary laundered 50100M of funds for her elaborate Russia Hoax DoNotComply The Real Pandemic is Washington DC Congressional Criminals
38,Headed onto am640 and across Ont talking inflation the DOW housing scams farming wildfires CecchiniDC talks USA politics COVID19 and trump  ColinDMello checks in from Queens Park ONpoli and chapappay brings part 2 of his racism in medical our system series
39,"Im going to Emergency Room due to post COVID19 complications MayorBowser it is outrageous that public COVID19 numbers  hospitalizations have stopped being posted in WashingtonDC Take the health of DC residents more seriously

CovidIsNotOver LongCovid"
40,Sarah4Rose DaveAtherton20 Not just sign it but write to both Number 10 and your MP withdrawing your consent for this  Any such petition can be discussed but our representatives must know our feelings they must be told pandemic
41,BethCameronDC POTUS VP AfricanUnion CARICOMorg G7 g20org BethCameronDC neither summit would have happened without your determination amp leadership PandemicAction you  we are counting on POTUS VP SecBlinken PowerUSAID rajpanjabi JakeSullivan46 WHCOS  AshishKJha46 to keep the pandemic high on the  agenda
42,Im a member of AmSoc for Microbiology Our conf is June DC We all know the data We are required to be vaccinated and wear masks because we understand the virus amp data COVID19 Covid CovidVaccine CoronaUpdate CoronaPositive coronavirus CoronaVaccine Covid19 COVID19
43,Your Government both parties and EVERY politician in DC HATES YOU Their lips are moving but NOTHING happens  When will SOMEONE be held accountable corruption COVID19 POTUS
44,justthefacts85 flowermusickids Dont worry DC hasnt reported data in 11 days theyre COVID19 free This is fine everything is fine
45,"Covid Vaccination Centre at Football Stadium Ranchi scheduled for 08th May 2022 Sunday 

DCRanchi
prdjharkhand
HLTHJharkhand
JharkhandCMO"
46,"So after avoiding it for 2 years I unfortunately caught COVID19 last week Some details about my case

I caught it during my 2 week biz trip to DC Symptoms started the night of 428 I had been to several team outings  happy hours the week of and prior"
47,One year ago today we rallied in DC to urge POTUS to agree to support negotiations on the TRIPSwaiver Since then we have seen words only  a shameful lack of action which has contributed to more than 15 million global deaths from Covid19 The pandemic isnt over for everyone
48,"NadiaSiino TPMP MarcDoyer RomainDoyer Ca fait 10 MOIS qu elle est entre la vie et la mort Dc cela NE choque ABSOLUMENT PAS qu il soit la ce soir pour en parler Car avt tout il pense aux autres A tous ceux qui ont eu des effets secondaires vaccin COVID19  
Il faut mettre ce sujet au ️ des politiques publiques"
49,"RoeVWade 
 Because its too soon for another Pandemic amp Bidenflation has become
 the new normal
…The only RED MEAT the Dems approve of is abortion 
LEAKS in DC are seldom an accident"
50,"Mes proches ce jour  et pas des sportifs 
 1 DC soudain post vaxx  78 ans ss comorbidits
 1 nvo n  mre vaxx durant sa grossesse  manque de tout selon la neonat  12 cervo 12 poumons 13 digestif viable 
VaccineSideEffects 
Vaccins 
effetsecondaires"
51,k3enteprises LSW12612672511 And those swabs will be breaking the bloodbrain barrier COVID19 Covid19 PCR
52,DanglerDom myrabatchelder medriva New York New Jersey New England Washington DC and Delaware have rising rates  DC and Kent county DE have hospitalization increases  Its not over yet COVID19
53,"BreakingNewsHaryana

                   250      

cmohry 
mlkhattar 
anilvijminister
DCGurugram
nishantyadavIAS

 COVID19 
 boosterdose"
54,Today is the day I am supposed to be in person at  QT2022 talking about hospitalathome COVID19 scrambled my plans and NCQA was kind enough to allow me to present a virtual version which will be broadcast later today What an incredible day its going to be in DC
55,Gotta love it 100 of people on my DC metro train still wearing COVID19 masks ignoring what some Florida judge said People around here listen to science
56,"Trending 225 COVID19 cases in Gurgaon many school students test positive Parents demand early summer break atleast for non vaccinated children
ThePradeepRawat NcrParents ParentsGurgaon vaccinated schools summervacation DCGurugram anilvijminister"
57,guptavineeta DrPhilippaW BambosMP wendychambLD DavidMundellDCT resultsuk RESULTSTweets KarenPierceUK UKinUSA ACTION partner resultsuk is in DC this week  hosting a bipartisan MP delegation to engage WorldBank  GlobalHealth leaders and decision makers to talk the impacts of COVID19 on womengirls and catalyze a more effective equitable response RMNCH theGFF HealthEquity
58,"BCCI have announced a change in venue for the match between DC and RR on 22nd April 2022 from MCA Stadium Pune to Wankhede Stadium Mumbai to avoid any further undetected spread of the virus 

Earlier Tim Seifert tested positive for COVID19

TATAIPL 
DelhiCapitals"
59,JustIn  Fridays IPL game between DelhiCapitals and RajasthanRoyals has been moved from Pune to Wankhede Stadium due to COVID19 outbreak in DC camp reports karhacter
60,Another player positive in the DC camp As of now no clarity on whether the match will go on or be called off Players are being tested again IPL2022 DCvsPBKS COVID19 DelhiCapitals
61,Just in COVID19 seeping into IPL bubble first DC physio and now another player tests positive Worst scenario is they played a game in between with the risk of infection spreading This has to be taken seriously CricketTwitter
62," JUST IN   Delhi Capitals have cancelled their scheduled travel to Pune as they have been hit by Covid outbreak scare DC are scheduled to play PBKS on Wednesday

Covid19 IPL2022 TATAIPL2022 IPL CricketTwitter COVID19 CoronavirusUpdates Cricket DelhiCapitals"
63,"Urban Vaccination Centre at Football Stadium Ranchi District for 17th April 2022 Sunday 

DCRanchi 
HLTHJHARKHAND 
prdjharkhand 
JharkhandCMO"
64,"Though different states have done away with COVID restrictions Patiala DC sawhneysakshi  on Saturday issued a fresh advisory to follow COVID appropriate behaviour
DC as asked the residents to wear masks and follow social distancing DCPatialaPb thetribunechd COVID19"
65,"Rais Samia Suluhu Hassan Washington DC Kuhusu COVID19 Nchi yangu inashukuru kwa mchango wa Marekani katika kuchangia Chanjo kupitia mpango wa COVAX

Hadi sasa Marekani imetoa takriban Chanjo Milioni 5 za Corona kwa Tanzania

JamiiForums JFLeo"
66,"IPL  Delhi Capitals physio Patrick Farhart tests positive for COVID19 He is being closely monitored by the DC Medical Team at the moment 

ANI"
67,I caught covid the first weekend I went out to a concert and crowded bar in DC I tested neg for 3 days after I started feeling ill before getting a  result Be careful out there Ive been isolating for 9 days covid19 DC
68,VJablow MayorBowser ChmnMendelson Anybody with children in DCPS STOP FOOLING YOURSELF Our mayor auctioned poor Black kids to billionaires for profit THEREFORE do you REALLY think she cares about your child teacher or you contracting COVID19  Wake UP DC dcision22 dcproud fairshot DCStatehoodNow
69,"funder remember at the start of COVID19 I asked you how long you think it would be before I would be able to return to DC to continue my health care advocacy in person You said I think you need to hunker down for a bit

Im still hunkering for as long as I need to amp "
70,I just watched the first busload of illegals arrive in DC If were still in the middle of a pandemic as the Left claims why then were they welcomed with a big hug and a warm handshake GO BidenBorderCrisis
71,Gridiron Apr 2 COVID19 superspreader dinner in DC now has resulted in 80 confirmed cases among attendees according to club president TomDeFrank
72,The border crisis should scare everyone what this is doing to America also gov Abbott is sending the illegals that are crossing to Washington DC amp guess what over 30dems have COVID19 including pelosi amp have to leave DCIf you still think these ppl are on your side WakeUp
73,"So for the next 2 weeks i will monitor Covid19 in DC lose health and hope in humanity over the UkraineRussiaWar and cross my fingers that France doesnt turn into a female TrumpLand

Whats next 2022

electionspresidentielles2022"
74,LoewyLawFirm Apparently not within the DC Democrat political social circles where COVID19 is spreading like wildfire
75,TomiLahren That doesnt even make any sense DC lifted its indoor mask requirements people held an event lots of people contracted COVID19 and you think that is evidence that we shouldnt be required to wear masks on airplanes BTW the airline requirement expires in two weeks
76,AG MerrickGarland has tested positive for COVID19 today Hes the 2nd member of the Biden cabinet to test positive They both attended the Gridiron dinner on Saturday Scores of DC officials as well a reporters have tested positive in recent days F24
77,Didnt USFDA approve Moderna Booster for those 50 cvspharmacy please update your site and let us make appts We are currently awaiting guidance from the CDCgov  on a potential second COVID19 booster shot for adults age 50  Check back for details DC MayorBowser
78,"Pas loup Aprs mon enfant cest  mon tour davoir le covid Et pourtant je portais le masque mais jtais la seule dc pas assez efficace Merci Veran BlanquerDemission EcoleOubliee
COVID19 enseignants"
79,chefdini Hey when is StephenVLiu going to do his outdoor work homemade doughnut party that he won during HCWvsHunger chefdini Its lovely spring weather in DC Were in between pandemic surges I say doughnut miss this opportunity 
80,Had a great time listening to MazJobrani at the kencen in DC last night It was our first public indoor performance in more than two years COVID19 waitwait
81,"ventura1711 Les enfants dcds aprs ️ Pfizer on peut vs envoyer les parents espce denflure 
Aucune piti rien que des mensonges rpts en boucles 
Non lESSAI N EST PS TERMINE
Surtt k la souche dorigine est le Covid19 dc inefficace sur les variants "
82,GlennJacobsTN Boy one thing we have learned from COVID19 is that we need to remove as much responsibility and power from DC and move it to the states as possible
83,The Taoiseach has tested positive for covid19 in Washington DC
84,NYC is lifting most COVID19 restrictions amp mask rules But 2 close friends both fully vaxed and supercareful about masking have separately come down with COVID19 in the last 2 days One was baftaawards2022 in London amp sure thats where he got it The other was in DC
85,"We leveraged MGNREGA scheme for cultivation of aromatic plants in Una and Kangra districts In 2021 we started this for smallholders at Behar Jaswan panchayat in Una Medicinal plants have huge demand owing to Covid19RaghavSharmaIAS DC Una HimachalPradesh

BIDialogue"
86,"margayakovenko 12Mar Guerra Ucrania Rusia 
Ibondc No pierdas mucho el tiempo… tambin hay quien niega el holocausto otros que la tierra sea redonda otros la Covid19"
87,"SaveOwlsHead CBCNews Cowardly bcpoli using pandemic as cover for dirty deeds  done dirt cheap  ACDC nailed it 

Let Karma do the heavy lifting on Their Fates"
88,Two years ago today I spoke at a conference in DC flew home that night pulled my kids from school the next day amp havent been on a flight since Pandemic COVID
89,The Peoples Convoy is a group of truckers that have invaded DC amp met with TedCruz amp RonJohnson The Convoy are protesting COVID19 mandates which are rare This is really pathetic since they are doing this while the people of Ukraine are fighting for their country amp lives
90,What do RI VT ME CT MA HI NY NJ MD VA DC WA CA have in common Higher vaccination rates than NH  Another reason for the NH Speaker of the House to allow remote participation to members of the NH General Court Vulnerability R US NHPolitics rennycushing
91,MurielBowser Until you aggressively target and achieve a 90 vaccination rate you are not done DC could have been a Vax bubble led by example  Why didnt you do this COVID19
92,Why has there been little to no media coverage of PeoplesConvoy to DC Is it because Biden thinks hes quieted the voices for Freedom Has anyone read the first Pfizer data dump I am vaxxed but will not submit to future COVID19 mandates kayleighmcenany HARRISFAULKNER
93,First time in two years Ive seen my DC office parking garage almost full I had to hunt for a parking space COVID19 BackToOffice
94,"COVID19 pandemic has been hard on all around the world DC residents have played a huge part in the changing the course of this pandemic We did so even though we are not a state 
EleanorNorton DCStatehood SOTU SOTU2022"
95,"The TruckersConvoy2022 was reported as moving towards DC to protest COVID19 restrictions that have basically been rolled back to not having to wear masks indoors or having to show proof of vaccination So why is this a thing

FreshWords FreshResists"
96,So the TruckerConvoy2022 is headed to DC to protest COVID19 restrictions Meanwhile thanks to Bidens vaccine rollout most restrictions have been lifted Now watch as those bozzos take credit for CDC lifting mask mandates 
97,"Die in Russland stehenden Server der DistributedComputingProjekte SiDockProject COVID19Forschung und Rakesearch ZahlentheorieODLS sind anscheinend down

DC VC BOINC VolunteerComputing CitizenScience Rechenkraft"
98,I hope you all are as responsible as I am Everyone I have been in contact with I let know I have Covid I also reported it to the DC government Get tested COVID19
99,The fact that PentagonPresSec has no mask on but the White House press corp does tells you everything you need to know about DC UkraineRussiaCrisis COVID19
100," Siguiendo el modelo de las protestas en  la regin de Washington DC se prepara para la llegada de miles de camioneros que se quejan contra el costo del combustible y medidas COVID19 

El Pentgono autoriz 700 miembros de la Guardia Nacional para apoyar a las autoridades"
101,KSteffner ImmunizeUnder5s CDCDirector DrWoodcockFDA Also for the decision makers based in DCEast CoastCOVID19 is not just a cold weather disease In the South and SW where it gets hot  in the summer we get a peak Starting to get vaccinated in Maynot having immunity for summer wave
102,"ManonCantin49 Et moi dcsurtt qd je vois certains enfants rentrs de lcole
Veran continue sa politique de la peur en MENTANT sur TT en permanence
Certains parents st totalement flipps ils ne rflchissent mme  alors quen 2020 aucun enfant na eu le Covid19 et oui ImmunitNaturelle"
103,Highlights from todays TPINNetwork EnvAm uspirg DC staff meeting RightToRepair ActForWildlife methane and COVID19 scams
104,"After riling up the Western contingent of the FREEDUMBCONVOY ie wexitersqanonsensicals etc Jason Kenney is in Washington DC for the weekend

Quite telling

We see you Premier 

cdnpoli abpoli COVID19"
105,McFlavour7 PippaCrerar Already lots of speculation UKs initial COVID19 lock down was delayed for Carries baby showerI bet DC has all the details of that
106,BigPharma got DC to mandate that taxpayers subsidize the clinical trials for an unproven covid vaccine without any liability for harmful side effects Scamdemic
107,antivaxxers I know its wrong but watching the antivaxxers in DC this weekend all I could think is they will probably all end up with Covid and I didnt feel ANY SYJMPATHY FOR THEM AT ALL  In fact all I felt was my usual rage and disgust
108,MattGertz Its ironic that the antivaxxers my body my choice and forced birthers  your body my choice descended on DC the same weekend reproductivejustice antivaxxers
109,"The fact that there is an antivaccine rally in DC today tells me once again that we are not in this together If only cable news would refrain from covering it 
CovidVaccine Omicron Covid19 MSNBC CNN"
110,Antisemitism is not just the subtext of the antivaxx rally in DC the Jewhating conspiracies are loud and clear front and center down to the yellow stars worn by the vile morons in attendance antivaxxers
111,"Antivaxx antimaskers in WDC We will fight these mandates until our last breath

COVID19  That can be arranged "
112,"Todays antivaxxer superspreader event in DC is expected to endanger at least hundreds of 1stresponders but ultimately reduce the number of antivaxxers after 612 weeks

Darwin works both sides of the street"
113,"I requested pictures taken and names written down of those attending the defeatthemandatesDC DefeatTheMandates rally in DC I dont want to troll them My daughters are seeking employment and Im sure some positions will open sooner than expected

COVID19"
114,864k people have died of COVID19 in the US by official count The pop of San Francisco is roughly 875k Boston Seattle Denver and DC have pop less than 864kimagine if those cities just disappeared And 864k is a conservative  and doesnt count collateral deaths
115,"antivaxxers are marching in DC today  

Just wondering if this is the same AntiAbortion group who marched yesterday in front of the SCOTUS for March for Life

Their radical right ideology is hypocrisy beyond words"
116,margiestrike Dana78743884 As a Missourian please dont lump us all together w MAGA amp AntiVaxxers StL amp KC comprise almost 12 the population of MO amp are Democratic strongholds Our Governor amp Senators are trash but we also sent Cori Bush amp Emanuel Cleaver to DC amp We still have a mask mandate in STL
117,The event will be celebrated virtually due to the COVID19 pandemic
118,I really appreciate initiatives from Health Dept GGN Dr taking follow up on daily basis since I reported COVID  Very thankful the way they are taking care of over phone calls assuring for all possible help if needed COVID19 DCGurugram anilvijminister
119,there is a huge gay event that happens on MLK weekend in DC that is usually packed Major vendors and clubs have pulled out because of COVID19  Im seeing pics on crowd size and its way down
120,"US Covid19 ICUs are starting to feel like a plateau The range this last week 50 states  DC was pretty flat 24997 to 25482 Today is 25305

Delta peak was 26015 on 97

Last winters peak was 28821 on 112"
121,In DC you need proof of Vaccine to go to a bathroom If you are found to not cooperate with Vax mandates in Wash State you can be incarcerated for up to a year The DOJ has a new program to find and prosecute DomesticTerrorism AKA Trump supporters You OK with this
122,"La Goic debe ser expulsada de la DC ahora
Piera debe renunciar
Chile amenazado por sinvergenzas 
ConvencionConstitucional 
COVID19"
123,"himantabiswa Okay If there was an unfortunate security lapse today the same Deputy Commissioner DC would have been blamed

To shout at an IAS officer in public light somehow sounds otherwise Sir The Superintendent of Police SP is down with COVID19 though Now a burning topic "
124,"Nagaon DC scolded by CM today Now a hot topic Headlines tomorrow likely Interesting

CM had called for SP Who is in isolation for he is COVID19 positive Might have seen onroad protests if Anand Mishra was humiliated this way So much over VIPVVIP culture Okay "
125,"Great MayorBowser 

District Vaccine Requirement Goes Into Effect Today DC Health Encourages Residents to Get Vaccinated and Boosted 

 Food and Drink Establishments
 Entertainment Venues and Nightclubs
 Gym and Fitness Facilities
 Conference and Meeting Spaces

COVID19"
126,"In the last month I have visited and socialized in South Florida and DC Its too easy to argue were becoming two different people More precisely we may be branching off into different species 

Just two years to flatten the curve FlattenTheCurve COVID19"
127,All of my fiends in DC at SSWRorg please enjoy yourself and be cautious COVID19
128,pwmct1241 CraigASpencer SCOTUS justices can hide in their marbles halls and ornate offices in the SCOTUS building of 1 First Street in Washington DC and behind their formalism in their opinions but average workers cannot hide from increased risk of Covid19 from unvaccinated coworkers
129,"axios axios info graphic showing DC COVID19 pandemic infection rates are the only US state where rates are dropping

but prior highest spike in DC helps prove need for DCstatehood amp end of tyranny over DC
DCstatehoodNews"
130,"Et restez prudents 
gestesbarriere
aration 
masques
On vit tous  peu prs normalement 
Lanne dernire  la mme date on tait sous couvrefeu et tout les lieux de loisirs et restaurants taient ferms
La vaccination est efficace contre les formes graves
Protgeons nous"
131,leahmcelrath DC dropped to 8 positivity today amid the early signs of a significant drop in cases fingers crossed NY and Boston showing similar signs We may be on the cusp of seeing exactly the impact of high vaccination rates with something as infectious as omicron
132,"Je dcouvre le colloquedelahonte  Donc le grand danger pour la population franaise cest le wokisme et les tudes de genre dc quon parle de limpact de la colonisation et lcriture inclusive MAIS VOUS SAVEZ QUON VIT UNE PDE PANDEMIE COVID19 
Concentrezvous non"
133,CecchiniDC kcorr54 Gosh Thank you COVID19 Thank you very much
134,"Look down O Lord from your heavenly throne and illumine this night with your celestial brightness that by night as by day your people may glorify your holy Name through Jesus Christ our Lord

Pray 4 the world
USA COVID19  homeless DC NYC uk Cuba Australia France"
135,"Gurugram On Monday the Health Department identified 2374 newly infected patients The figure of active patients in the district reached 9913 One infected patient also died in the last 24 hours DCGurugram cmohry anilvijminister 
Gurgaon Gurugram COVID19"
136,"32 new cases from DC Office Jammu Those in charge of enforcing
COVID19 Protocol SOPs arent following Protocol SOPs Themselves"
137,Private school in my town has taken 6th grade to Boston 7th grade to DC and 8th grade to NYC for decades  Has cancelled all trips this year not due to COVID19 but VaccinePassports… these cities and states lose millions of visitors and dont even realize the ruin they bring
138,"DC has been great at providing COVID19 testing 

But I cannot understand why DCPL intentionally doesnt handout rapid antigen tests on Sundays before kids head back to school Every other day sure just not on Sundays

charlesallen DCPSChancellor"
139,Very impressed by the ease of picking up rapid COVID19 tests in SWDC thank you DCHealth and charlesallen for bringing these to SWDC  No lines and very easy  A resource for the citizens of DC to know their contagiousness status to protect others and save lives
140,"Anyone who thinks all the horrible Covid19 national policy decisions are coming solely from Walensky doesnt understand how DC works 

Look at Jeffrey Zients and White House ZientsMustGo"
141,Wealthy Republican DC debutantes who brag about their novaccination status probably arent the best advisors for reaching those muchtalkedabout working class white voters many are vaxxed of necessity Easy to talk about leaving a job when you have lots of  amp no kids 
142,Big explosion of COVID19  in Gurugram  on Thursday The Health Department identified 1447 new infected The number of active patients in the district reached 4220 28 infected patients are being treated in the hospital LiveHindustan DCGurugram cmohry Gurgaon
143,"Visit this place O Lord amp drive far from it all snares of the enemy let your holy angels dwell with us to preserve us in peace amp let your blessing be upon us always
Jesus 
pray 4 Fatima Ethiopia  USA WINTER homeless COVID19 uk London DC NYC Cuba Italy Iran"
144,"yjadot LCI NON vous ne pouvez pas dire que Macron se fiche de la vie des gens
Si ctait le cas il ninsisterait pas sur la Vaccination en mettant en place un PassVaccinal et laisserait dc les NonVaccins prendre des risques vitables avec le Vaccin"
145,"Live in NY NJ DC PR USVI DE MA FL MD RI or US
Symptoms of acute COVID or SARSCoV2 infection 
Positive or negative test for COVID19 
Get paid to help us learn about longcovid by joining us at ⁦
covidINSPIRE"
146,"Nearly 2 years into COVID19 amp we still have issues finding teachers

Parents unable to findafford daycare

Business have signs in windows closed no help minwage 1587

Colleges forcing Full pay tuitions yet teach online

DC we have a problem amp it aint your football team"
147,Consider that all sectors are lacking employees because of COVID19 overwhelming all systems Some of the many stuck in snow on DC metro roadways will die  they cant get rescued or plowed out Because we didnt mandate vaccines or lock down we will come to a standstill anyway
148,"In USA overnight over 426000 new Covid19 infections even without updates from Florida and 5 other states

The headlines made by Texas with a big new state record of over 56000 while DC also set a new all time high of over 9k for the last 3 days"
149,"On sen fout que vous aimiez Macron ou pas que vous soyez de droite de gauche ou abstentionnistes la vaccination protge des formes graves et protge ceux que vous ctoyez qui peuvent tre immunodeprims   de 300 000 concitoyens
VaccinezVous"
150,Given the incredible public health risk of covid19 NASEMTRB not offering a virtual option for a conference with thousands of global attendees is shortsighted reckless and arguably dangerous Whats more theres no refund policy as cases begin to surge in DC amp the USTRBAM
151,I cant help but wonder if this Washington DCeast coast snowstorm might actually help with the post holiday Covid19Omicron outbreak Less people moving around and interacting Am I wrong public health twitter COVID19 Omicron
152,Cringing watching this ChiPubSchools recklessness unfold My daughters school in DC planned early in the break to delay an inperson return to Wednesday 15 so everyone can show proof of a negative COVID19 test that must not be taken any earlier than 13 or 14
153,Due to freezing temperatures and strong winds the vaccination site fairpark is closed today The drivethru site eastfielddc reopens this TuesSat from 10 am  545 pm Well administer all COVID19 doses  Enter via La Padra Ave
154,In DC you need a photo ID to get a COVID19 at home test Why is DC so racist
